Id,Text,Author
1,The Project Gutenberg eBook of The Complete Poetical Works of Edgar Allan Poe,Edgar Allan Poe
2,"whatsoever. You may copy it, give it away or re-use it under the terms of",Agatha Christie
3,This eBook is for the use of anyone anywhere in the United States and,Edgar Allan Poe
4,most other parts of the world at no cost and with almost no restrictions,Edgar Allan Poe
5,"whatsoever. You may copy it, give it away or re-use it under the terms",Edgar Allan Poe
6,of the Project Gutenberg License included with this eBook or online at,Edgar Allan Poe
7,"www.gutenberg.org. If you are not located in the United States, you",Edgar Allan Poe
8,will have to check the laws of the country where you are located before,Edgar Allan Poe
9,using this eBook.,Edgar Allan Poe
10,Title: The Complete Poetical Works of Edgar Allan Poe,Edgar Allan Poe
11,Author: Edgar Allan Poe,Edgar Allan Poe
12,"Release Date: November 10, 2003 [eBook #10031]",Edgar Allan Poe
13,"[Most recently updated: March 13, 2021]",Edgar Allan Poe
14,Language: English,Edgar Allan Poe
15,Character set encoding: UTF-8,Edgar Allan Poe
16,"Produced by: Clytie Siddall, Charles Aldarondo, Keren Vergon and the Online Distributed Proofreading Team.",Edgar Allan Poe
17,*** START OF THE PROJECT GUTENBERG EBOOK COMPLETE POETICAL WORKS ***,Edgar Allan Poe
18,The Complete Poetical Works,Edgar Allan Poe
19,of Edgar Allan Poe,Edgar Allan Poe
20,edited by,Edgar Allan Poe
21,John H. Ingram,Edgar Allan Poe
22,PREFACE.,Edgar Allan Poe
23,In placing before the public this collection of Edgar Poe's poetical,Edgar Allan Poe
24,"works, it is requisite to point out in what respects it differs from,",Edgar Allan Poe
25,"and is superior to, the numerous collections which have preceded it.",Edgar Allan Poe
26,"Until recently, all editions, whether American or English, of Poe's",Edgar Allan Poe
27,"poems have been 'verbatim' reprints of the first posthumous collection,",Edgar Allan Poe
28,published at New York in 1850.,Edgar Allan Poe
29,"different editors and publishers, but the present is the first occasion",Edgar Allan Poe
30,on which all the pieces referred to have been garnered into one sheaf.,Edgar Allan Poe
31,"Besides the poems thus alluded to, this volume will be found to contain",Edgar Allan Poe
32,"many additional pieces and extra stanzas, nowhere else published or",Edgar Allan Poe
33,included in Poe's works. Such verses have been gathered from printed or,Edgar Allan Poe
34,manuscript sources during a research extending over many years.,Edgar Allan Poe
35,"In addition to the new poetical matter included in this volume,",Edgar Allan Poe
36,"attention should, also, be solicited on behalf of the notes, which will",Edgar Allan Poe
37,"be found to contain much matter, interesting both from biographical and",Edgar Allan Poe
38,bibliographical points of view.,Edgar Allan Poe
39,MEMOIR,Edgar Allan Poe
40,POEMS OF LATER LIFE:,Edgar Allan Poe
41,Dedication,Edgar Allan Poe
42,Preface,Edgar Allan Poe
43,The Raven,Edgar Allan Poe
44,The Bells,Edgar Allan Poe
45,Ulalume,Edgar Allan Poe
46,To Helen,Edgar Allan Poe
47,Annabel Lee,Edgar Allan Poe
48,A Valentine,Edgar Allan Poe
49,An Enigma,Edgar Allan Poe
50,To my Mother,Edgar Allan Poe
51,For Annie,Edgar Allan Poe
52,To F----,Edgar Allan Poe
53,To Frances S. Osgood,Edgar Allan Poe
54,Eldorado,Edgar Allan Poe
55,Eulalie,Edgar Allan Poe
56,A Dream within a Dream,Edgar Allan Poe
57,To Marie Louise (Shew),Edgar Allan Poe
58,To the Same,Edgar Allan Poe
59,The City in the Sea,Edgar Allan Poe
60,"The Sleeper,",Edgar Allan Poe
61,Bridal Ballad,Edgar Allan Poe
62,Notes,Edgar Allan Poe
63,POEMS OF MANHOOD:,Edgar Allan Poe
64,Lenore,Edgar Allan Poe
65,To one in Paradise,Edgar Allan Poe
66,The Coliseum,Edgar Allan Poe
67,The Haunted Palace,Edgar Allan Poe
68,The Conqueror Worm,Edgar Allan Poe
69,To Zante,Edgar Allan Poe
70,Hymn,Edgar Allan Poe
71,Notes,Edgar Allan Poe
72,Note,Edgar Allan Poe
73,POEMS OF YOUTH:,Edgar Allan Poe
74,Al Aaraaf,Edgar Allan Poe
75,The Valley of Unrest,Edgar Allan Poe
76,Israfel,Edgar Allan Poe
77,"To----(""The bowers whereat, in dreams, I see"")",Edgar Allan Poe
78,Song,Edgar Allan Poe
79,Spirits of the Dead,Edgar Allan Poe
80,Romance,Edgar Allan Poe
81,Fairyland,Edgar Allan Poe
82,The Lake,Edgar Allan Poe
83,Imitation,Edgar Allan Poe
84,"""The Happiest Day,""",Edgar Allan Poe
85,A Pæan,Edgar Allan Poe
86,Alone,Edgar Allan Poe
87,The Power of Words,Edgar Allan Poe
88,The Conversation of Eiros and Charmion,Edgar Allan Poe
89,ESSAYS:,Edgar Allan Poe
90,The Poetic Principle,Edgar Allan Poe
91,The Philosophy of Composition,Edgar Allan Poe
92,"other, blind admiration would depict him as far ""too good for human",Edgar Allan Poe
93,"Anglo-Irish extraction. Educated for the Bar, he elected to abandon it",Edgar Allan Poe
94,"Edgar, the second child of David and Elizabeth Poe, was born at Boston,",Edgar Allan Poe
95,"in the United States, on the 19th of January, 1809. Upon his mother's",Edgar Allan Poe
96,"death at Richmond, Virginia, Edgar was adopted by a wealthy Scotch",Edgar Allan Poe
97,"merchant, John Allan. Mr. Allan, who had married an American lady and",Edgar Allan Poe
98,"himself so quaintly portrayed in Poe's tale of 'William Wilson',",Edgar Allan Poe
99,"all manner of mischief. Still I liked the boy,"" added the tutor, ""but,",Edgar Allan Poe
100,"irregular, and cottage-built"" dwelling, and so it remained until its",Edgar Allan Poe
101,"The 'soi-disant' William Wilson, referring to those bygone happy days",Edgar Allan Poe
102,"spent in the English academy, says,",Edgar Allan Poe
103,"""The teeming brain of childhood requires no external world of incident",Edgar Allan Poe
104,"intrigues--these, by a mental sorcery long forgotten, were made to",Edgar Allan Poe
105,From this world of boyish imagination Poe was called to his adopted,Edgar Allan Poe
106,"European residence, handsome, proud, and regarded as the heir of a",Edgar Allan Poe
107,his fellow pupils. He speedily made himself a prominent position in the,Edgar Allan Poe
108,"school, not only by his classical attainments, but by his athletic",Edgar Allan Poe
109,feats--accomplishments calculated to render him a leader among lads.,Edgar Allan Poe
